,AEblack,AEbrown,AEchocolate,AEcoral,AEdarkred,AEdarksalmon,AEfirebrick,AEgainsboro,AEindianred,AElightcoral,AElightgrey,AElightsalmon,AEmaroon,AEorangered,AErosybrown,AEsaddlebrown,AEsalmon,AEseashell,AEsilver,AEtomato,AEwhite,AEwhitesmoke
ACH-000896,-0.10024381665123257,-0.1416764842181653,-0.11362292842925185,-0.16921253507023298,-0.1294854224812993,-0.2590835053558771,-0.18750119724313682,-0.0019715986810684935,-0.15948372487921536,-0.12679836347593237,-0.0764416971574845,-0.1908773369484077,-0.21321882976186468,-0.1903545553852403,-0.13514216452822728,-0.17698647972770573,-0.284872532105019,-0.22417147270283097,-0.25204411205100624,-0.2020503671146002,-0.12246768899290472,0.027026973541140926
ACH-000070,0.10086663866504054,-0.017632675922648687,-0.062245753464041834,-0.022558261957561988,-0.1618754106648873,-0.22240346817151246,-0.08451491352616664,-0.07449085440313159,-0.11852047888472358,0.18419744734248727,0.6165889571907707,0.13149176427804884,-0.0794168972751234,0.08213834389710045,0.06076864483208867,-0.13632271621324216,-0.06989595280776639,-0.0909896062033145,0.5290065592292126,-0.0996544109861558,0.3347869592524799,-0.65291170607118
ACH-000411,-0.11476532035665059,-0.10576149065630122,-0.21118119802240393,-0.14080173520987452,-0.0806990215379827,0.04501656206222882,-0.1925268290633031,-0.2589675162854591,-0.1320513532739189,-0.12710006576161975,-0.059577027167069765,-0.19510441717950527,-0.14651167057246864,-0.18240379833805032,-0.11565354986121217,-0.14551757291153072,-0.34400536991263914,-0.10626080170268828,-0.23179979755485283,-0.08729781863290541,-0.1376149093181777,0.039152077701279396
ACH-000649,-0.15747328298893373,-0.13595542516480108,-0.1646884838064775,-0.13066217005794983,-0.12116106060913796,-0.08587268673429405,-0.17128347005574995,-0.3017001132753713,-0.17829219648314523,-0.12626447735541746,-0.1334065900304676,-0.20099078050723843,-0.07444662415366161,-0.11619327689938069,-0.15334574064931591,-0.16576055504316908,-0.3626311651731569,-0.15852182660617145,-0.184727894306201,-0.10926605040588087,-0.19225903587082832,0.22729370184759212
ACH-001306,-0.08988664733777264,-0.10441628049339492,-0.18633025640281237,-0.13112718625781608,-0.12323496345589016,-0.1951929234819982,-0.12929840586169475,-0.3020762496238552,-0.15118100025113398,-0.11264188834686857,-0.12062309159321265,-0.17436831516309417,-0.034394387302658355,-0.13012805060084198,-0.10891126136930826,-0.15947729212855577,-0.21387956925392732,-0.1783930958653674,-0.11457608443999685,-0.13207351562477104,-0.19895417178190541,0.3790341240205608
ACH-001307,-0.10019606281449683,-0.03611448627486084,-0.14723945905913155,-0.026586697901441057,0.00435687794676945,-0.17289734038152288,-0.13713494001501497,-0.250380928073701,-0.11163809094826826,-0.12556152849174976,0.06541201601368,-0.08054769560248054,0.015984141263208275,-0.17729288531587328,0.07766152618500644,-0.1551232563663476,-0.25915549377264,-0.1870844554053117,-0.14074055139932298,-0.1016060143026941,-0.141198894564843,0.2944219957134643
ACH-000137,-0.013036617040362991,0.02214097635970226,0.09594088157410745,0.08376276856574197,0.1814003515006023,0.27664902583878836,0.044747118682564056,0.010031628609796558,0.2801621117167272,0.0836998538657217,-0.3053396629805174,0.06041684234561775,0.23792688835387657,0.038827757747559956,0.16417390777887914,0.17082589972476991,0.14477104577621178,0.2079088855822331,0.014430948916541442,0.4286635541202067,-0.017011306283362018,0.4274148398155691
ACH-000008,-0.07991361334163283,-0.03174444318974423,0.006077306777291308,-0.03915710960227049,0.38410038851781625,0.02797495502939147,0.22865896556984483,-0.24324330570707026,0.23614473239443431,0.023218792415301046,-0.09783288744075642,0.01578300640588315,0.10518019171562656,-0.09986463407918182,-0.01931689042248589,0.20176181067235135,-0.0922005991687742,-0.056616814387908505,-0.09998827338048856,0.33599242173299554,-0.121192625714956,0.2835006693931292
ACH-000283,-0.06446376738803188,-0.12340163305001041,-0.20495065749785227,0.03698794898640757,-0.03449447405051674,-0.23698451907309995,-0.1307348698040253,-0.32206679698304286,-0.17978504686497818,-0.14843352060334836,-0.18056848335355713,-0.13147263673330295,-0.028437105440298528,0.06029219866693959,-0.10732764407947681,-0.1243217445761526,-0.23871330834890722,-0.17050599055268822,-0.2303802134988563,-0.16770391390679687,-0.06491359851773147,0.3269174779247262
ACH-000558,-0.08963432285595493,-0.023258915881705304,-0.06357520599928819,-0.03591924272821057,0.07278917618437457,-0.10560539667116646,-0.054705710552336605,-0.24484364305148243,0.22890022502263174,-0.07440058594319136,-0.031154842576948692,-0.11048578565106484,0.08405864805879798,-0.061224907490991895,-0.08417576515786689,-0.12448510599878469,0.057389942107695095,-0.10852256122472635,-0.08437927724491402,-0.11146108199340451,-0.2727571756848097,0.5539139511188901
ACH-000201,-0.052017616741672164,-0.03450105842054869,-0.12042101673006367,-0.09988380141775366,0.1326274452962991,-0.21105003859687563,0.01318786489865947,-0.2914530238513768,-0.09855344971493811,0.012481665439369063,0.327657605771856,-0.10120148611078852,0.010838774049109455,0.012694184029993167,0.07880674559717951,-0.11638892421660282,0.03525301829378461,-0.023270812291755167,-0.03369383032976576,-0.1185614023817453,0.1382783417866003,0.13227233382677106
ACH-000788,0.037556199505204814,-0.04048774596667511,-0.13236536036706137,-0.09611589179510581,0.20327844280992954,-0.12234893732550538,0.1398350680674945,-0.2575989387611209,0.033497536534424444,-0.06512798659110373,0.37548658845679733,-0.025155445927524032,0.08833763589554822,-0.08521041250496414,-0.06960348254727226,-0.12314993283368329,-0.1118743835712781,-0.11871643703520111,0.026772597344578375,-0.1134247290019931,-0.012886838688452543,0.16278142075832602
ACH-000740,-0.02510152005759358,-0.02304732731486766,-0.07351005232668446,-0.00214994639149434,-0.10751768391611431,0.11064182604964161,-0.062218120311470115,0.2643166851613491,-0.11836422314864217,-0.02691671240934324,0.022770677980698678,-0.11873772344001102,-0.06390512765730674,-0.06260725551112704,-0.07174347471719847,-0.07121897747503521,-0.13810892742560374,-0.07701138214226688,-0.10092777362216018,-0.03422851720489425,0.041551895865764396,0.02088227788122135
ACH-000657,0.418504825811509,-0.09971165109158184,-0.04571801474689598,0.013062406116205271,0.5608696714222922,-0.12459173691026647,-0.034464944309550445,-0.26650639231954687,0.029972723686544044,-0.032396579193367706,-0.18135531218520584,-0.13094461058153778,0.04629837356168743,-0.07822203896546953,0.015266676665374965,-0.17159574225313493,0.13157971314991027,-0.06919517750545871,-0.19508296180367632,-0.0711205814580808,0.06485471232036936,-0.09222357468925642
ACH-000219,0.050439869132389716,-0.06975528347350665,0.04360443276492156,0.1099859538288989,0.3168531262368094,-0.13247881999018177,0.12009034667601354,-0.25174815340476325,-0.07394520991863078,-0.05981231856035043,-0.08901792960091726,0.02145886197989543,0.11472211055742204,-0.05505429258538089,0.0824949116881751,-0.1124381931582675,-0.08089602074867962,-0.13952367933778836,-0.13917859154896112,0.26262796785966847,0.18139134328933476,0.08077847194839322
ACH-000697,0.12708730517736877,0.04847590375556841,0.08298609205288526,0.11390884390408534,0.05942832995797066,0.11462211721366786,0.08283643095544693,0.061622032545743825,0.2105833537065692,0.06750949379857016,0.14049563382023905,-0.0014047141491175883,0.13424280149188703,-0.09853562367405734,0.5522291727779609,0.493834260663514,-0.11748538118035168,-0.08401868573062121,0.5828874693908711,0.809508444677221,0.18847561939745797,-0.35866755726713473
ACH-000757,0.03987126029577321,-0.11161738095857146,-0.1466458210888074,-0.13430153639349157,0.13993634780021869,-0.27392994890936356,-0.15718529705798562,-0.11522393995134346,-0.13245413897148436,0.03770741057027602,-0.3166476134785633,-0.0920422778809632,-0.06578760221272476,0.04161738215537764,-0.13198071372225145,-0.1930371682524459,0.011706142549009474,-0.18222771441269786,-0.2344557461906325,-0.15060204816969094,-0.1845914257818848,-0.039574714865753265
ACH-000555,-0.04543715081963056,-0.1387526149298659,-0.14983904744528623,-0.12992935626525584,-0.0744377084794091,0.3383133597135756,-0.138683258475832,-0.2233744421878398,-0.15027040868475586,-0.12615262042442343,-0.2623587363713649,-0.1435938641869568,-0.21334025513678834,-0.1250764479375045,-0.09510760764133418,-0.11762708150695782,-0.23258282776334285,0.03948884773920668,-0.2742838781545622,-0.17297057746244962,-0.29510294751500366,0.11898391039238661
ACH-000157,0.1157341244770171,0.04967870151241222,0.13609281328206627,0.01222668231538637,0.029357842109279626,0.39411569432836635,0.17668937070128105,0.08985656554042278,0.6706898511694946,0.10566805461758313,0.31269154585063574,0.0924104057803902,0.17019656490280846,0.006719870134308172,0.35028753287114167,0.6167434970301642,-0.12031986314746591,0.2377682789166333,0.7025815703820486,0.8245065145143343,0.1807237425717856,-0.3567206533399413
ACH-000681,-0.1321561600833093,-0.16006322429894185,-0.1690869090925463,-0.16818960666244573,-0.14911212692751263,0.37466620497729985,-0.17820962083685415,-0.2800643756080744,-0.15781948093817444,-0.17259856870978202,-0.28355943059794964,-0.10448148289213731,-0.19373172958973717,-0.1640378096811322,-0.14398887854544293,-0.06777176026362333,-0.23430864646367755,0.019061546059399345,-0.3409712781103536,-0.16726390049161732,-0.15288557853476573,0.001562169791319405
ACH-000052,-0.04367626948936181,0.05034956005358185,0.07055900930192142,0.01754256952100815,0.04418282339141504,0.12504979327819055,0.031331778836263355,-0.14015739210744463,0.00955727034897967,-0.011701240986577549,0.28871376921789027,0.03173082320396882,0.2056054524687969,0.07290063791491658,0.2472006886578871,-0.025008393478953367,1.0396615366644955,-0.01283308103079146,0.11409353421948239,-0.09876083696645492,3.322915706730805,0.15033891242255512
