,MEblack,MEbrown,MEchocolate,MEcoral,MEdarkred,MEdarksalmon,MEfirebrick,MEgainsboro,MEindianred,MElightcoral,MElightgrey,MElightsalmon,MEmaroon,MEorangered,MErosybrown,MEsaddlebrown,MEsalmon,MEseashell,MEsilver,MEtomato,MEwhite,MEwhitesmoke
ACH-000896,-0.0053878518714303705,-0.005829759443936335,-0.0051358127955834915,-0.008980722908364507,-0.006512808436910045,-0.006373408211907242,-0.010513017075721576,0.019481077065320818,-0.00956493360620401,-0.007649698441393947,-0.0030475311455942754,-0.010711653465444393,-0.025947905662673104,-0.008635334082504977,-0.005149346372322069,-0.0057035407339842146,-0.016609307444465413,-0.00956670913666117,-0.02049601302538374,-0.01175964602560453,-0.009655894861739414,0.010336290622532553
ACH-000070,0.012543074755934261,0.0008006392883928334,-0.003483212322452396,0.0010267024401411045,-0.007255947790159345,-0.003990875847042753,-0.005073800906041229,-0.041745130799611924,-0.005673893936886271,0.019727018132962394,0.031841945805321153,0.009248192755973345,0.008282648433203319,0.005568912737828707,0.006294907525745752,-0.004185296033025694,-0.0043104778326250905,0.00047259038864365047,0.04627158295357258,-0.005177467383923459,0.011409263023935343,-0.05356196812899233
ACH-000411,-0.007432975496583006,-0.0045226697654449305,-0.00916521254598602,-0.007218999851751559,-0.007923272642509346,-0.005534453510549779,-0.011121103498798473,-0.010504523039446446,-0.006332271644760963,-0.009983167511164381,-0.0017271419769465182,-0.010524105066189574,-0.018721499533579752,-0.008589580472790565,-0.0049251630597694105,-0.006108378392340611,-0.020354919125188088,-0.008922728277124092,-0.01966243615365622,-0.0063645270061268005,-0.00850578712837688,0.011177477721758783
ACH-000649,-0.008978038090869379,-0.005518474582160814,-0.006699200608988975,-0.005941237221542576,-0.008006306590466321,-0.0053812293426218644,-0.009032987723512959,-0.015143607589837663,-0.00906062249547227,-0.009274653911060061,-0.004771185620966958,-0.011620497478582972,-0.008324921450458265,-0.005759423351106031,-0.006108552240260911,-0.00582644304054879,-0.021878723326758994,-0.009383868401175251,-0.01735157089624322,-0.0068840544183444855,-0.011611424646221852,0.028273271086098038
ACH-001306,-0.00513240389297528,-0.005455900933670989,-0.008327860649093924,-0.007020455924850413,-0.003057998161336558,-0.005778380424540755,-0.006200937713099008,-0.020206622552154326,-0.0069202761102099995,-0.007976985058182996,-0.005782228298544322,-0.009542113771454749,-0.011021617762817237,-0.005548195198768373,-0.0050571763662237215,-0.006438007035593429,-0.01300137167298139,-0.006875931066887874,-0.01056853913605878,-0.0073524801147651355,-0.010577208361785377,0.03777178466457089
ACH-001307,-0.00482415660275615,-0.0006379555432848145,-0.006484288127020534,0.0015123640413833056,-0.00373260404608659,-0.0010150383810594514,-0.0064202058834080455,-0.013936720596511791,-0.006482216464409173,-0.007603305013091596,0.0032542110171875065,-0.005310094557775996,0.0016970507549722788,-0.008000954663877092,0.005834987682778894,-0.005482295495227864,-0.016156714060738937,-0.00912370062395884,-0.01299798848221993,-0.003043593965173002,-0.00972360487462961,0.032944816416710467
ACH-000137,-0.004075908356129546,-0.003274641359036466,0.0031512202292812196,0.0037003730915306306,-0.0006517326371512144,0.01881733167267488,0.0019826210500664618,-0.00722740487248986,0.002233435534639111,0.003204084522914719,-0.018756024572911718,0.0010301775472818543,0.017044740061342066,0.001940496856105789,0.0070217632469474,0.015399502432003572,0.007890745746189124,0.019242771251173407,0.0005632304267567933,0.018834637148852806,0.00022301037687853047,0.03213074033468282
ACH-000008,-0.005595994785593929,-0.0025517375878234393,0.0008873645158286042,-0.0007822326156610179,0.057478564670645556,0.009409688127423918,-0.006918515244655922,-0.019380606384360774,0.0012092530800111782,-0.0003473878391602478,-0.004037268262933282,-0.0021347010981837117,0.0022076302251034146,-0.003995756820398038,-0.0012598718233519579,0.016084547951553535,-0.006582516008505033,0.001623808143885482,-0.010780178051698806,0.013351883497358103,-0.005003291095178805,0.027750127534197484
ACH-000283,-0.0023245300547980936,-0.005432977899284709,-0.008938461715049107,0.007898218452106353,-0.007817119761683816,-0.005310268688373111,-0.006898755916914238,-0.02093327443057708,-0.009855287400189741,-0.008451624028093725,-0.011115185011686722,-0.0077299311063985,-0.004038952684313698,0.003983416884082131,-0.004149409097143816,-0.0047969889819995185,-0.013823492169660605,-0.005870493073757513,-0.01915362410594333,-0.008641092154867313,-0.006294867601128871,0.034955584983310875
ACH-000558,-0.00473775215898062,-0.0007273746514469588,-0.0022265866234961805,-0.0037071146544626014,-0.004799126494150832,-0.002710586962196044,-0.003219070644162417,-0.01767960952581913,0.004051845832808982,-0.00633476512748349,0.004034556141292605,-0.006595290460353486,0.007372590877431962,-0.002818932569015135,-0.0031855695656238052,-0.0037381563987452814,0.0034888530919776365,-0.0033063271792145624,-0.009962042746785487,-0.006860111937832949,-0.010054969204821441,0.04904613929234551
